cross,mean,SE,sex,enviro,sire,dam
P1,24.57143,8.462402,U,35,1,1
P2,20.85714,6.471287,U,35,2,2
F1,12.42857,4.534824,U,35,2,1
rF1,28.00000,6.792853,U,35,1,2
F2a,23.85714,5.561040,U,35,3,3
F2b,15.57143,6.046869,U,35,3,4
rF2a,16.42857,6.058670,U,35,4,3
rF2b,19.57143,6.679240,U,35,4,4
BC1a,13.14286,2.711778,U,35,3,1
BC1b,13.14286,2.530091,U,35,4,1
rBC1a,30.71429,9.625646,U,35,1,3
rBC1b,24.85714,7.688670,U,35,1,4
BC2a,44.57143,6.365297,U,35,3,2
BC2b,40.57143,7.689997,U,35,4,2
rBC2a,25.14286,5.881483,U,35,2,3
rBC2b,25.00000,6.568322,U,35,2,4
P1,27.14286,7.265144,U,29,17,17
P2,9.28571,3.076132,U,29,18,18
F1,13.00000,1.825742,U,29,18,17
rF1,44.57143,9.795181,U,29,17,18
F2a,21.57143,4.433945,U,29,19,19
F2b,24.28571,5.441088,U,29,19,20
rF2a,25.71429,5.902841,U,29,20,19
rF2b,14.42857,4.253050,U,29,20,20
BC1a,14.00000,1.496026,U,29,19,17
BC1b,14.00000,3.323796,U,29,20,17
rBC1a,23.71429,6.405780,U,29,17,19
rBC1b,30.57143,9.431096,U,29,17,20
BC2a,45.00000,7.699722,U,29,19,18
BC2b,39.33333,8.093893,U,29,20,18
rBC2a,30.57143,6.376509,U,29,18,19
rBC2b,30.66667,9.149378,U,29,18,20
