cross,mean,SE,sex,enviro,sire,dam
P1,24.57143,71.612245,U,35,1,1
P2,20.85714,41.877551,U,35,2,2
F1,12.42857,20.564626,U,35,2,1
rF1,28,46.142857,U,35,1,2
F2a,23.85714,30.92517,U,35,3,3
F2b,15.57143,36.564626,U,35,3,4
rF2a,16.42857,36.707483,U,35,4,3
rF2b,19.57143,44.612245,U,35,4,4
BC1a,13.14286,7.353741,U,35,3,1
BC1b,13.14286,6.401361,U,35,4,1
rBC1a,30.71429,92.653061,U,35,1,3
rBC1b,24.85714,59.115646,U,35,1,4
BC2a,44.57143,40.517007,U,35,3,2
BC2b,40.57143,59.136054,U,35,4,2
rBC2a,25.14286,34.591837,U,35,2,3
rBC2b,25,43.142857,U,35,2,4
