cross,mean,SE,sex,enviro,sire,dam
P1,31.28571,11.7483,U,35,1,1
P2,34.78571,70.43053,U,35,2,2
F1,61.57143,73.80272,U,35,2,1
rF1,46.85714,68.68707,U,35,1,2
F2a,69.14286,218.4966,U,35,3,3
F2b,69,249.33333,U,35,3,4
rF2a,74.85714,379.30612,U,35,4,3
rF2b,63.71429,164.27211,U,35,4,4
BC1a,29,216.14286,U,35,3,1
BC1b,54,66.14286,U,35,4,1
rBC1a,69.71429,92.08163,U,35,1,3
rBC1b,42.14286,67.73469,U,35,1,4
BC2a,75,208.80952,U,35,3,2
BC2b,65,241.7619,U,35,4,2
rBC2a,68.42857,36.37415,U,35,2,3
rBC2b,49.28571,232.98639,U,35,2,4
