cross,mean,SE,sex,enviro,sire,dam
P1,37.85714,10.79997,U,35,1,1
P2,35.00000,2.53546,U,35,2,2
F1,31.14286,5.64602,U,35,2,1
rF1,20.71429,6.64657,U,35,1,2
F2a,40.14286,5.66707,U,35,3,3
F2b,38.85714,9.57036,U,35,3,4
rF2a,49.28571,7.96634,U,35,4,3
rF2b,46.71429,3.84035,U,35,4,4
BC1a,39.57143,5.86701,U,35,3,1
BC1b,49.57143,6.60756,U,35,4,1
rBC1a,28.28571,6.83030,U,35,1,3
rBC1b,32.42857,5.97557,U,35,1,4
BC2a,38.42857,7.44778,U,35,3,2
BC2b,32.71429,9.54616,U,35,4,2
rBC2a,15.00000,5.55492,U,35,2,3
rBC2b,32.28571,4.96518,U,35,2,4
